"CardID" "R" "F" "M"
"C0101221801" 470 5 135.96
"C0101222120" 391 1 19.99
"C0101222204" 525 3 294.98
"C0101222802" 402 6 248.96
"C0101222878" 397 2 86.98
"C0101222973" 595 12 511.9
"C0101223148" 424 3 324.98
"C0101223235" 507 2 228
"C0101223721" 455 4 171.47
"C0101224037" 418 30 1059.24
"C0101224502" 438 4 287.98
"C0101224624" 431 4 354.98
"C0101224745" 388 17 514.84
"C0101224778" 407 2 328
"C0101225038" 650 3 153.98
"C0101225435" 550 2 1278
"C0101225688" 534 3 112.97
"C0101225820" 623 1 139.99
"C0101225831" 416 4 278.98
"C0101226106" 413 2 288
"C0101226169" 442 3 317
"C0101226286" 560 3 173.98
"C0101226478" 526 2 393
"C0101226670" 582 1 1099
"C0101227093" 530 3 276.99
"C0101227466" 537 3 282.99
"C0101227567" 388 3 263.98
"C0101227576" 422 1 179
"C0101227783" 464 6 408.97
"C0101227784" 388 2 208.99
"C0101228146" 578 1 89
"C0101228539" 425 5 339.92
"C0101228751" 501 2 218
"C0101228921" 573 1 139
"C0101229018" 396 3 17.97
"C0101229159" 423 26 1146.28
"C0101229663" 575 2 138.99
"C0101229734" 391 2 538.99
"C0101230215" 469 3 208.94
"C0101230449" 402 4 486
"C0101230532" 446 2 138.99
"C0101230819" 521 15 3278.79
"C0101231061" 539 3 257
"C0101231376" 514 3 337.99
"C0101231594" 411 2 209.94
"C0101231759" 667 1 229
"C0101231954" 660 1 299
"C0101232011" 464 1 649
"C0101232190" 451 6 145.95
"C0101232348" 673 1 349
"C0101232485" 483 3 427
"C0101233185" 402 2 308.99
"C0101233601" 392 4 222.98
"C0101233779" 401 2 508
"C0101233846" 425 1 899
"C0101233882" 648 1 199
"C0101234434" 453 3 590.49
"C0101234751" 688 2 178
"C0101235004" 408 14 2251.94
"C0101235072" 399 20 1631.84
"C0101235159" 435 7 866.96
"C0101235247" 437 2 338
"C0101235352" 457 3 827
"C0101235568" 399 10 81.9
"C0101235715" 506 1 449
"C0101235820" 477 1 449
"C0101235829" 491 4 531.99
"C0101235986" 444 2 1198
"C0101236223" 457 3 187.99
"C0101236259" 559 3 268.98
"C0101236296" 581 4 487.98
"C0101236367" 404 1 34.99
"C0101236868" 583 25 426.78
"C0101236927" 437 3 224.97
"C0101237013" 490 4 253.97
"C0101237053" 439 5 986.98
"C0101237461" 541 4 336.99
"C0101237824" 389 3 347.99
"C0101237907" 432 4 481.99
"C0101238041" 419 1 49
"C0101238340" 405 3 347
"C0101238389" 476 12 3147.98
"C0101238625" 455 5 500.99
"C0101239028" 425 5 452.97
"C0101239445" 512 6 478.99
"C0101239516" 439 2 223.99
"C0101240013" 412 3 353.94
"C0101240094" 485 3 143.49
"C0101240396" 390 3 281.99
"C0101240679" 424 2 338.99
"C0101240945" 454 2 1418.99
"C0101241824" 533 3 427.99
"C0101242160" 415 6 260.46
"C0101242280" 399 4 482.98
"C0101242559" 431 2 938
"C0101242771" 459 3 410.99
"C0101244366" 603 2 168.99
"C0101244471" 418 1 179
"C0101244663" 391 2 318
"C0101244984" 398 3 162.99
"C0101245051" 390 2 418
"C0101245214" 411 3 307.95
"C0101245276" 407 2 248.99
"C0101245366" 493 5 298.97
"C0101283784" 430 5 506.98
"C0101284253" 540 5 278.43
"C0101284305" 392 5 792.93
"C0101284705" 492 3 287.99
"C0101285115" 412 2 143
"C0101287728" 408 2 668
"C0101287784" 401 2 203
"C0101289375" 511 3 48.97
"C0101289840" 485 2 438
"C0101290402" 434 26 361.66
"C0101290565" 445 3 352.99
"C0101290748" 464 3 377.99
"C0101290756" 607 1 169.99
"C0101293819" 434 3 272.99
"C0101295492" 622 1 69.99
"C0101295605" 568 4 393.94
"C0101297321" 549 2 68.99
"C0101297446" 436 4 228.97
"C0101298138" 516 4 328.93
"C0101299492" 419 4 402.48
"C0101301326" 414 4 252.97
"C0101301403" 402 24 929.26
"C0101301538" 590 1 89
"C0101302158" 532 2 59.94
"C0101302791" 403 2 238.95
"C0101303012" 481 3 287
"C0101303305" 389 4 209.47
"C0101303817" 488 5 267.97
"C0101306412" 479 1 349
"C0101306830" 504 1 149
"C0101307016" 578 13 497.88
"C0101308335" 508 2 338.99
"C0101308395" 546 3 127.99
"C0101308873" 397 8 238.43
"C0101309155" 441 2 43.94
"C0101309752" 412 3 136.94
"C0101310234" 517 3 117.99
"C0101310322" 711 1 199
"C0101310725" 481 3 211.99
"C0101311144" 420 3 417.99
"C0101311233" 425 4 163.47
"C0101311235" 500 3 512.99
"C0101311437" 725 1 149.99
"C0101311495" 478 2 398
"C0101311667" 392 2 318.99
"C0101312579" 398 4 601
"C0101313662" 445 4 546.99
"C0101313713" 468 4 257.94
"C0101314696" 482 2 398
"C0101315479" 438 4 492.94
"C0101315825" 589 19 457.83
"C0101316943" 523 3 266.98
"C0101317119" 407 3 272.99
"C0101317615" 392 19 1520.25
"C0101317698" 391 1 89
"C0101317834" 495 4 428.98
"C0101317928" 435 1 19.99
"C0101318517" 459 4 423.94
"C0101319103" 404 3 467.99
"C0101319241" 501 5 326.98
"C0101319604" 592 2 153.99
"C0101319688" 501 2 598
"C0101320344" 446 4 395.49
"C0101320367" 412 1 119
"C0101321182" 494 4 506.97
"C0101321185" 511 4 436.99
"C0101321374" 507 5 286.94
"C0101321469" 419 2 193.99
"C0101322430" 420 9 717.96
"C0101322912" 512 3 507.99
"C0101322980" 439 2 393
"C0101322981" 392 3 352.99
"C0101323043" 468 4 396.95
"C0101323062" 502 5 280.96
"C0101323600" 422 5 276.99
"C0101323657" 391 3 104.93
"C0101324357" 416 9 516.96
"C0101324483" 399 14 937.33
"C0101325409" 461 4 631.97
"C0101325654" 512 3 312.99
"C0101325741" 388 1 39.95
"C0101326259" 501 4 298.97
"C0101327143" 403 1 29.99
"C0101327514" 456 1 8.99
"C0101327692" 581 1 119.99
"C0101327987" 455 2 293
"C0101328316" 406 18 996.86
"C0101328856" 492 2 149.98
"C0101329172" 651 1 349
"C0101329460" 513 2 538
"C0101329655" 528 4 306.99
"C0101330961" 574 3 196.99
"C0101331659" 449 5 493.98
"C0101331842" 402 18 928.87
"C0101331906" 619 2 78.99
"C0101332476" 473 5 329.44
"C0101333338" 407 4 486
"C0101333491" 399 2 668
"C0101334261" 613 2 74.98
"C0101334701" 393 26 1024.27
"C0101334831" 420 3 167.99
"C0101335055" 682 1 219
"C0101335644" 442 3 370.48
"C0101335681" 390 1 74
"C0101335691" 403 4 148.93
"C0101335743" 403 5 775.99
"C0101335857" 451 5 346.98
"C0101336222" 473 2 188
"C0101336453" 408 1 84
"C0101336548" 592 18 412.86
"C0101336811" 705 1 109
"C0101337928" 430 4 856
"C0101338024" 526 4 422.98
"C0101338347" 542 3 342
"C0101338407" 624 1 89
"C0101340156" 647 3 161.48
"C0101340525" 686 1 279
"C0101340591" 409 26 562.25
"C0101340701" 391 3 146.99
"C0101343110" 388 1 59
"C0101343687" 538 3 164.97
"C0101343771" 411 3 222.95
"C0101343785" 413 2 818
"C0101344303" 438 5 396.94
"C0101345173" 584 7 882.45
"C0101345323" 393 3 365.49
"C0101345572" 612 2 103.95
"C0101345842" 737 1 129
"C0101346978" 397 4 556.99
"C0101347251" 397 4 111.98
"C0101347323" 479 2 238
"C0101347439" 437 30 1590.67
"C0101347480" 395 17 1701.36
"C0101348077" 434 3 104.98
"C0101348239" 426 2 458
"C0101348513" 495 3 172.99
"C0101348790" 411 3 146.49
"C0101349013" 674 3 418.98
"C0101349194" 475 4 341.95
"C0101349327" 411 4 277.94
"C0101349431" 456 3 352.99
"C0101349493" 422 5 316.98
"C0101350230" 432 3 867.95
"C0101350382" 703 1 139.99
"C0101350939" 557 3 452.99
"C0101351052" 534 1 149.99
"C0101351395" 575 2 213.99
"C0101351579" 488 3 444.99
"C0101351593" 514 3 517
"C0101351807" 450 3 1027
"C0101352503" 419 6 576.99
"C0101354636" 434 6 342.95
"C0101354891" 412 4 128.96
"C0101355040" 403 2 468
"C0101355152" 410 5 259.97
"C0101355313" 497 2 428
"C0101355860" 431 5 270.98
"C0101355897" 427 3 192.94
"C0101356061" 604 2 73.99
"C0101356545" 406 2 168
"C0101356617" 429 3 452
"C0101356699" 500 3 152.99
"C0101357314" 434 3 360.49
"C0101357500" 456 2 238.99
"C0101357580" 399 2 498
"C0101357895" 390 2 418
"C0101358158" 392 1 79
"C0101358572" 451 5 401.98
"C0101358953" 388 29 912.25
"C0101358990" 388 11 407.41
"C0101360141" 425 30 1029.24
"C0101360222" 587 15 580.87
"C0101361072" 468 2 118
"C0101361770" 584 21 426.26
"C0101362452" 667 2 93.95
"C0101362700" 583 2 94.98
"C0101363026" 396 18 907.85
"C0101363593" 539 4 232.98
"C0101364026" 398 1 2.99
"C0101364068" 404 1 349
"C0101364172" 498 3 417.99
"C0101364325" 402 2 238.99
"C0101364351" 525 2 158.99
"C0101365053" 393 3 332.99
"C0101365235" 481 2 303.99
"C0101365314" 529 4 337.97
"C0101365978" 487 3 587.99
"C0101366300" 596 1 89
"C0101366323" 482 2 273
"C0101366501" 414 3 476.98
"C0101368072" 592 3 277.99
"C0101368322" 450 3 262.99
"C0101369019" 388 2 148
"C0101369091" 666 2 47.94
"C0101369158" 502 3 238.98
"C0101369669" 388 6 510.94
"C0101369726" 388 3 353.98
"C0101369827" 474 25 1305.74
"C0101369939" 431 4 152.98
"C0101370308" 434 4 201.98
"C0101370320" 393 1 89
"C0101370436" 735 1 299
"C0101371514" 629 1 179
"C0101371593" 449 4 566.95
"C0101371881" 401 4 368.97
"C0101372883" 538 3 252.99
"C0101372907" 400 5 234.97
"C0101373743" 392 28 1176.27
"C0101373994" 392 26 682.72
"C0101374612" 407 2 308.99
"C0101375105" 592 4 1066.99
"C0101375123" 423 2 198.99
"C0101375493" 610 1 89
"C0101376039" 536 4 331.99
"C0101376428" 551 4 420.99
"C0101377683" 409 3 407.99
"C0101377746" 524 3 242.99
"C0101379045" 409 9 902.89
"C0101379578" 550 4 496.99
"C0101379890" 412 7 547.94
"C0101379901" 402 30 630.68
"C0101380482" 390 2 248.99
"C0101381136" 603 2 173
"C0101381472" 619 14 145.87
"C0101381567" 473 5 626.98
"C0101382260" 626 1 449
"C0101382299" 397 2 378
"C0101382558" 445 2 243.99
"C0101382968" 651 1 399
"C0101383184" 484 3 258.94
"C0101383395" 417 3 337.99
"C0101383807" 556 2 388
"C0101384279" 395 23 773.24
"C0101384362" 394 29 1083.76
"C0101384610" 471 6 984.99
"C0101384768" 615 3 168.48
"C0101384786" 595 14 625.88
"C0101385205" 444 6 737.92
"C0101385493" 397 1 219
"C0101385586" 523 3 717.99
"C0101385731" 420 3 347.99
"C0101385828" 396 2 283
"C0101385860" 640 2 189.94
"C0101385928" 400 2 248.99
"C0101385946" 463 1 349
"C0101386652" 489 2 358
"C0101386677" 573 2 63.99
"C0101386895" 540 4 251.99
"C0101386955" 409 22 833.81
"C0101387080" 484 3 608.98
"C0101387318" 463 4 581
"C0101387523" 417 3 417.99
"C0101388323" 450 5 147.92
"C0101388400" 389 13 1175.42
"C0101388574" 432 4 396.98
"C0101388680" 508 3 242
"C0101388751" 432 3 577.99
"C0101388862" 447 4 117.98
"C0101388909" 398 27 772.26
"C0101388936" 388 2 378
"C0101389221" 486 5 213.47
"C0101390535" 396 14 1217.9
"C0101390857" 434 1 349
"C0101390937" 533 3 173.99
"C0101392133" 393 29 741.73
"C0101392184" 423 5 887.97
"C0101392300" 427 5 564.98
"C0101392565" 429 4 204.98
"C0101392836" 525 6 1022.97
"C0101392982" 403 5 245.47
"C0101393214" 401 9 489.93
"C0101393986" 388 4 457.98
"C0101394052" 434 1 159
"C0101395139" 427 11 1039.93
"C0101395373" 402 1 149
"C0101395873" 424 2 123.99
"C0101395905" 415 2 113
"C0101396827" 483 3 927
"C0101397000" 435 5 580.99
"C0101397693" 390 4 687.98
"C0101398214" 481 2 698
"C0101398739" 391 29 891.24
"C0101399035" 500 5 606.94
"C0101399208" 433 5 797.93
"C0101399873" 428 4 276.97
"C0101400475" 389 20 265.31
"C0101400582" 573 1 109
"C0101401046" 427 5 684.98
"C0101401079" 391 4 225.97
"C0101401224" 410 2 57.99
"C0101401691" 391 1 199.99
"C0101401813" 587 28 461.19
"C0101402297" 392 2 168
"C0101402345" 578 2 148
"C0101402521" 396 26 739.27
"C0101402598" 393 30 951.73
"C0101402659" 392 2 788.99
"C0101403691" 482 4 1109.98
"C0101403838" 399 17 577.84
"C0101403908" 582 18 484.33
"C0101403953" 572 2 238
"C0101404372" 527 3 318.98
"C0101404441" 484 6 306.97
"C0101404663" 391 1 9.99
"C0101404714" 390 29 989.17
"C0101404868" 406 2 54.94
"C0101405017" 394 4 545.98
"C0101405189" 395 8 51.92
"C0101405265" 397 3 113.98
"C0101405815" 520 4 443.98
"C0101405942" 454 3 212.98
"C0101406230" 643 1 199
"C0101406512" 419 5 276.98
"C0101406669" 565 3 117.99
"C0101406890" 388 1 34.99
"C0101407157" 396 3 317.99
"C0101407574" 503 1 159
"C0101408305" 389 2 39.99
"C0101408976" 427 2 153.95
"C0101409587" 465 4 706.98
"C0101409709" 394 28 623.74
"C0101409789" 404 6 46.94
"C0101409986" 556 2 568
"C0101410589" 409 1 16.99
"C0101410854" 389 1 159
"C0101410895" 419 2 123.99
"C0101411074" 401 2 108.99
"C0101411097" 414 3 1037
"C0101411202" 567 3 182.99
"C0101411271" 576 2 148.95
"C0101411380" 658 1 12.99
"C0101411503" 464 3 32.47
"C0101411738" 480 4 297.98
"C0101411799" 479 4 197.97
"C0101411896" 397 3 68.93
"C0101412445" 451 2 598.95
"C0101412609" 634 2 133.99
"C0101412687" 472 2 298
"C0101412749" 414 2 253.99
"C0101412863" 552 3 312.95
"C0101412910" 531 4 236.99
"C0101413723" 653 1 149
"C0101414670" 575 1 239
"C0101415151" 495 3 423.98
"C0101415179" 441 3 627
"C0101415412" 666 8 495.91
"C0101415481" 464 27 559.26
"C0101415579" 572 26 419.76
"C0101415637" 396 14 502.35
"C0101416885" 639 1 349
"C0101417115" 547 2 178.99
"C0101417313" 605 3 137.99
"C0101417690" 580 1 149.99
"C0101417960" 490 5 591.48
"C0101418168" 452 3 432
"C0101418433" 431 5 377.97
"C0101418660" 404 2 558
"C0101418706" 488 5 900.95
"C0101419247" 396 3 618.95
"C0101419252" 497 3 417
"C0101419495" 451 8 697.86
"C0101419829" 494 2 278
"C0101420165" 463 2 148
"C0101420768" 394 3 232.99
"C0101421011" 454 3 482.95
"C0101421342" 612 2 558
"C0101421678" 436 2 298
"C0101421813" 436 4 153.97
"C0101421916" 401 4 486
"C0101421946" 401 2 218.99
"C0101422487" 398 3 250.98
"C0101422690" 548 4 546.95
"C0101422733" 477 2 388
"C0101422817" 393 5 290.94
"C0101422846" 394 24 716.7
"C0101422898" 591 12 462.4
"C0101422979" 396 15 909.88
"C0101423007" 411 24 1591.23
"C0101423779" 396 26 966.7
"C0101424262" 425 5 53.45
"C0101424327" 409 4 312.98
"C0101425108" 507 5 679.48
"C0101425589" 403 1 84
"C0101425613" 536 3 422.98
"C0101425906" 497 2 678
"C0101426136" 451 3 452.99
"C0101427971" 432 5 380.47
"C0101428150" 427 1 199
"C0101428225" 396 10 529.88
"C0101428900" 401 21 828.27
"C0101429073" 406 2 423
"C0101429157" 410 5 230.98
"C0101429517" 500 2 393
"C0101429853" 441 1 39.99
"C0101430048" 396 4 297.94
"C0101430164" 501 3 377.99
"C0101431493" 430 4 365.94
"C0101431563" 406 5 1065.98
"C0101431681" 499 3 433.98
"C0101431720" 474 3 547
"C0101431847" 394 28 505.24
"C0101431911" 389 18 1006.24
"C0101432562" 435 4 324.98
"C0101432716" 426 4 292.94
"C0101433192" 408 23 842.81
"C0101433203" 583 7 510.95
"C0101433265" 393 9 223.42
"C0101433588" 487 2 418
"C0101433753" 547 6 377.96
"C0101434114" 454 5 170.96
"C0101434849" 388 30 567.71
"C0101434859" 577 3 427.99
"C0101434952" 698 2 49.98
"C0101435029" 401 22 897.27
"C0101435363" 577 17 313.86
"C0101435582" 408 2 468
"C0101435834" 415 10 1043.94
"C0101435958" 395 5 631.94
"C0101436231" 413 24 1695.26
"C0101436280" 413 12 2103.94
"C0101436487" 398 4 387.89
"C0101436569" 406 5 542.99
"C0101436609" 406 2 318
"C0101438039" 406 13 785.42
"C0101438191" 405 2 278.99
"C0101438383" 396 3 109.89
"C0101438570" 423 3 258.94
"C0101439199" 555 3 640.99
"C0101439611" 419 4 126.93
"C0101440108" 400 2 178.95
"C0101440209" 432 4 436.99
"C0101441176" 538 3 417.99
"C0101441468" 404 10 991.88
"C0101441763" 431 2 248.99
"C0101441862" 395 9 486.94
"C0101443175" 444 17 349.84
"C0101443323" 393 25 673.73
"C0101443406" 561 3 427
"C0101443409" 529 2 963
"C0101443497" 494 2 358
"C0101443589" 439 16 794.37
"C0101444198" 440 3 232.99
"C0101444764" 429 3 487.98
"C0101444982" 525 2 328.99
"C0101445630" 480 3 246.99
"C0101445763" 592 3 573.99
"C0101446531" 428 2 128.95
"C0101446569" 442 4 473.98
"C0101446716" 413 3 827
"C0101448008" 439 4 113.97
"C0101448224" 403 4 351.99
"C0101448573" 511 4 575.49
"C0101448654" 463 3 213.94
"C0101448854" 641 2 139.98
"C0101449120" 393 8 1516.92
"C0101449860" 462 3 492
"C0101449969" 402 3 57.47
"C0101450567" 426 5 393.97
"C0101450676" 710 1 59
"C0101451554" 515 3 467.99
"C0101451875" 647 1 99
"C0101452110" 442 6 1244.99
"C0101452554" 458 3 608.98
"C0101452778" 429 4 222.97
"C0101453017" 397 3 447.99
"C0101453111" 414 2 408
"C0101453356" 404 6 182.91
"C0101453854" 429 5 400.92
"C0101453937" 467 3 812.95
"C0101454275" 411 1 169.99
"C0101454449" 424 4 251.98
"C0101454546" 405 1 39.95
"C0101454661" 410 2 1548
"C0101454935" 422 25 892.24
"C0101455304" 434 3 339.97
"C0101455486" 495 3 482
"C0101455730" 572 22 495.29
"C0101456019" 402 4 801.99
"C0101456062" 637 5 555.47
"C0101456831" 751 1 179
"C0101457179" 690 5 453.97
"C0101457290" 660 1 24.99
"C0101457675" 468 4 762.99
"C0101458303" 402 2 36.98
"C0101458402" 422 4 342.98
"C0101459285" 443 5 521.98
"C0101459329" 432 2 438
"C0101459713" 389 10 538.39
"C0101460208" 522 2 488.99
"C0101460313" 472 4 857.98
"C0101460525" 427 3 109.98
"C0101460965" 474 5 245.97
"C0101461050" 442 3 227.48
"C0101461178" 445 3 427
"C0101461225" 398 6 173.96
"C0101461313" 424 3 322.99
"C0101461670" 460 2 393
"C0101461801" 422 4 482.98
"C0101462239" 500 3 362
"C0101462403" 416 26 1177.8
"C0101462648" 581 2 88.99
"C0101462969" 393 5 153.97
"C0101464095" 521 2 508
"C0101464270" 460 6 355.42
"C0101464361" 446 27 1143.19
"C0101464905" 389 7 1533.99
"C0101465003" 415 3 1077
"C0101465859" 401 28 1207.24
"C0101465994" 391 5 379.48
"C0101466670" 398 28 1073.76
"C0101466724" 397 15 458.8
"C0101466859" 505 1 339
"C0101467341" 456 3 187
"C0101467621" 554 5 786.94
"C0101467993" 389 3 118.94
"C0101468207" 411 4 214.47
"C0101468499" 439 4 302.99
"C0101468700" 478 2 468
"C0101469086" 466 2 448.99
"C0101469658" 418 4 536
"C0101470578" 457 4 336.99
"C0101470818" 490 3 512
"C0101471063" 419 3 331.99
"C0101471221" 560 6 1480.42
"C0101471315" 462 2 418
"C0101471368" 417 1 149
"C0101471440" 545 2 448
"C0101471885" 513 4 616.99
"C0101472123" 429 1 249
"C0101472398" 581 11 372.37
"C0101472471" 399 29 1139.58
"C0101472629" 525 2 1048
"C0101472703" 558 3 1487
"C0101472946" 554 2 588
"C0101473835" 444 3 77.98
"C0101474063" 410 5 500.47
"C0101474508" 397 7 460.94
"C0101474583" 407 30 903.19
"C0101474775" 392 3 332
"C0101475363" 407 5 1326.99
"C0101475366" 430 4 996
"C0101475652" 622 1 39.95
"C0101475809" 402 2 408
"C0101475951" 413 6 864.93
"C0101476116" 427 6 464.46
"C0101476250" 503 4 351.99
"C0101476391" 575 13 223.38
"C0101476464" 581 2 313.99
"C0101476739" 389 3 367
"C0101476924" 400 4 473.97
"C0101477065" 547 5 491.9
"C0101477242" 440 2 228
"C0101477536" 428 3 392.95
"C0101477614" 397 21 819.81
"C0101477738" 390 3 158.98
"C0101477793" 521 3 98.93
"C0101478751" 567 5 422.96
"C0101479021" 427 4 477.98
"C0101479274" 440 4 451.99
"C0101479945" 423 4 457.98
"C0101480021" 401 3 9.47
"C0101480413" 461 5 610.99
"C0101480682" 467 3 507
"C0101481556" 556 2 213
"C0101481957" 633 3 250.49
"C0101482009" 495 4 842.94
"C0101482122" 401 6 223.83
"C0101482149" 615 3 83.97
"C0101482283" 549 4 542.99
"C0101482653" 572 15 551.87
"C0101482806" 398 19 241.82
"C0101482859" 442 3 347
"C0101482946" 585 27 488.25
"C0101483702" 403 6 437.92
"C0101484259" 461 4 242.94
"C0101484373" 389 28 716.27
"C0101484444" 393 4 396.99
"C0101484912" 505 2 528
"C0101485167" 414 2 128.99
"C0101485258" 486 1 179
"C0101485420" 427 4 403.44
"C0101486414" 423 1 239
"C0101486466" 405 5 445.93
"C0101486502" 576 2 118.99
"C0101486767" 403 4 569.47
"C0101488303" 576 2 223.99
"C0101488386" 405 2 173
"C0101488669" 472 4 598.93
"C0101488754" 476 4 448.93
"C0101489065" 414 5 335.47
"C0101489334" 512 2 338.99
"C0101489624" 403 18 2741.8
"C0101489694" 402 9 2553.91
"C0101490254" 578 15 336.87
"C0101490297" 574 1 249
"C0101491339" 435 5 1234.97
"C0101491427" 398 13 1262.36
"C0101491566" 425 2 228.99
"C0101492040" 447 24 827.76
"C0101492115" 416 3 243.98
"C0101492672" 494 4 431.99
"C0101492732" 410 3 302.99
"C0101492870" 390 3 477
"C0101492908" 407 4 141.43
"C0101493036" 395 2 248
"C0101493422" 405 4 177.98
"C0101493960" 679 1 99
"C0101494329" 445 3 787
"C0101495556" 403 4 322.43
"C0101495716" 406 30 821.74
"C0101495929" 573 24 195.76
"C0101496550" 389 4 490.99
"C0101496998" 580 2 173
"C0101497031" 440 3 297.95
"C0101497034" 415 1 279
"C0101497094" 462 8 653.9
"C0101497198" 406 1 349
"C0101498053" 402 1 129
"C0101498918" 577 2 278
"C0101499298" 489 2 788
"C0101499352" 419 2 258
"C0101499505" 455 3 347.99
"C0101499641" 426 4 563.98
"C0101500584" 454 3 392.99
"C0101500866" 429 2 168
"C0101501821" 401 25 893.25
"C0101502033" 611 2 302.99
"C0101502092" 437 2 113
"C0101502302" 390 4 607.94
"C0101502329" 519 2 398
"C0101502671" 502 3 440.99
"C0101502869" 520 4 160.98
"C0101503653" 397 3 261.48
"C0101503741" 401 5 260.93
"C0101504034" 588 24 400.73
"C0101504290" 573 6 428.95
"C0101504455" 392 3 408.98
"C0101505393" 394 20 616.29
"C0101505498" 393 1 499
"C0101505565" 399 10 933.96
"C0101505814" 503 2 183
"C0101506226" 390 3 258.48
"C0101506615" 658 1 349
"C0101506628" 453 4 436.99
"C0101506835" 397 1 99
"C0101506914" 420 3 378.98
"C0101506974" 506 5 171.97
"C0101507037" 410 3 200.49
"C0101507160" 422 2 44.98
"C0101507379" 408 25 759.23
"C0101507413" 582 24 304.23
"C0101507740" 484 5 146.97
"C0101507813" 495 4 431.99
"C0101508402" 396 4 237.98
"C0101508654" 455 3 252
"C0101508720" 592 1 89
"C0101509172" 680 1 249
"C0101509699" 595 9 455.93
"C0101510083" 393 5 164.46
"C0101510503" 476 4 349.99
"C0101510628" 483 3 103.94
"C0101510686" 486 4 401.95
"C0101510763" 492 2 198
"C0101510839" 443 30 614.65
"C0101511134" 470 5 321.93
"C0101511567" 521 20 5283.92
"C0101511752" 410 3 657
"C0101512029" 425 4 292.97
"C0101512263" 661 3 403.99
"C0101512419" 715 1 179
"C0101512466" 429 2 378
"C0101512839" 533 4 178.98
"C0101513040" 440 4 234.96
"C0101513071" 728 1 149
"C0101513294" 429 2 188.99
"C0101513488" 390 27 959.25
"C0101514412" 475 2 408
"C0101516630" 410 3 487.99
"C0101517576" 533 3 337.99
"C0101517952" 427 4 228.93
"C0101518033" 399 2 88
"C0101518135" 432 2 208.99
"C0101518215" 700 3 68.94
"C0101714904" 441 3 243.98
"C0101715447" 415 8 1105.98
"C0101715516" 426 4 262.99
"C0101715592" 433 5 529.97
"C0101715695" 406 4 416.99
"C0101715828" 456 3 60.93
"C0101715872" 417 2 338
"C0101715908" 491 4 246.48
"C0101716059" 512 3 142.99
"C0101716248" 445 3 227.99
"C0101716260" 409 1 39.95
"C0101716380" 395 22 347.21
"C0101716521" 420 2 528
"C0101716577" 479 3 642.95
"C0101716627" 436 4 182.92
"C0101717112" 449 4 268.97
"C0101717334" 389 2 648
"C0101717397" 488 3 267.99
"C0101717640" 504 4 566.99
"C0101717964" 449 3 1124.98
"C0101718124" 419 3 637.99
"C0101718745" 516 3 267.99
"C0101719420" 604 1 279
"C0101719444" 407 3 343.99
"C0101719786" 624 5 511.92
"C0101720118" 493 3 165.98
"C0101720120" 662 2 1598
"C0101721218" 579 8 404.94
"C0101721456" 396 4 415.98
"C0101721683" 392 2 418
"C0101721712" 453 5 355.98
"C0101721971" 531 4 318.98
"C0101722112" 415 3 367.95
"C0101722392" 422 17 797.36
"C0101722735" 395 5 1420
"C0101722791" 420 2 373
"C0101723652" 391 2 498
"C0101723670" 445 4 292.94
"C0101723898" 410 2 64.94
"C0101724237" 433 14 2046.94
"C0101724454" 444 2 228.99
"C0101724609" 599 17 552.86
"C0101724652" 574 13 356.9
"C0101724778" 388 8 279.43
"C0101724842" 389 5 342.98
"C0101725091" 390 24 1452.3
"C0101725113" 397 2 109.98
"C0101725380" 511 2 273
"C0101725385" 455 4 431.95
"C0101725608" 400 2 378
"C0101725708" 443 2 143.95
"C0101725717" 545 3 487.99
"C0101725804" 659 1 349
"C0101726429" 444 4 311.99
"C0101726642" 478 3 447
"C0101726673" 535 2 388
"C0101726779" 611 1 299
"C0101727016" 413 22 677.77
"C0101727543" 412 3 567
"C0101727878" 469 2 868.99
"C0101727988" 434 4 402.98
"C0101728837" 391 22 595.23
"C0101728927" 575 1 449
"C0101729529" 398 3 276.98
"C0101729671" 390 16 941.84
"C0101729835" 450 4 265.97
"C0101729914" 395 4 300.99
"C0101729944" 511 3 104.94
"C0101730000" 470 5 285.43
"C0101730210" 402 29 687.23
"C0101730490" 439 1 749
"C0101731371" 423 3 222.98
"C0101731796" 605 2 108.99
"C0101732141" 471 5 687.98
"C0101732275" 449 1 129
"C0101732837" 542 3 397
"C0101733064" 444 5 282.98
"C0101733120" 420 2 301.99
"C0101733212" 574 14 422.84
"C0101734426" 525 2 218
"C0101734648" 397 6 299.99
"C0101734847" 424 5 387.92
"C0101734920" 721 1 219
"C0101735334" 574 25 293.26
"C0101735503" 388 3 268.98
"C0101735935" 389 4 220.48
"C0101736458" 389 2 24.98
"C0101736466" 581 20 558.79
"C0101736753" 398 4 378.97
"C0101736829" 580 2 64.98
"C0101737005" 457 5 413.97
"C0101737573" 406 1 189
"C0101737603" 580 17 476.8
"C0101737610" 578 19 380.34
"C0101737708" 400 4 676.99
"C0101737723" 394 2 788
"C0101738619" 403 2 188
"C0101738996" 400 17 577.36
"C0101739300" 436 2 153.95
"C0101739409" 516 10 2153.88
"C0101739754" 401 1 599
"C0101739845" 440 3 227.99
"C0101739989" 432 3 647
"C0101740002" 426 5 520.99
"C0101740083" 391 3 157.44
"C0101740128" 507 4 134.48
"C0101740478" 393 4 332.98
"C0101740561" 496 4 531.99
"C0101740999" 554 3 364.99
"C0101741173" 426 2 363
"C0101741257" 441 2 418
"C0101741755" 459 3 457.99
